IPEDS_ID,EFBAGE,LINE,LSTUDY,XEFAGE01,EFAGE01,XEFAGE02,EFAGE02,XEFAGE03,EFAGE03,XEFAGE04,EFAGE04,XEFAGE05,EFAGE05,XEFAGE06,EFAGE06,XEFAGE07,EFAGE07,XEFAGE08,EFAGE08,XEFAGE09,AllStudentTotal
100654,1,412,1,R,2140,R,3352,R,241,R,373,R,5492,R,614,R,2381,R,3725,R,6106
100663,1,412,1,R,5659,R,8561,R,2704,R,4999,R,14220,R,7703,R,8363,R,13560,R,21923
100706,1,412,1,R,4075,R,3050,R,1346,R,1265,R,7125,R,2611,R,5421,R,4315,R,9736
100724,1,412,1,R,1416,R,2518,R,181,R,298,R,3934,R,479,R,1597,R,2816,R,4413
100751,1,412,1,R,14790,R,18248,R,1916,R,3436,R,33038,R,5352,R,16706,R,21684,R,38390
100760,1,412,1,R,351,R,391,R,415,R,524,R,742,R,939,R,766,R,915,R,1681
100812,1,412,1,R,363,R,866,R,599,R,1216,R,1229,R,1815,R,962,R,2082,R,3044
100830,1,412,1,R,1288,R,2487,R,503,R,933,R,3775,R,1436,R,1791,R,3420,R,5211
100858,1,412,1,R,12791,R,13015,R,2629,R,2005,R,25806,R,4634,R,15420,R,15020,R,30440
100937,1,412,1,R,604,R,657,R,3,R,4,R,1261,R,7,R,607,R,661,R,1268
101028,1,412,1,R,379,R,485,R,231,R,473,R,864,R,704,R,610,R,958,R,1568
101143,1,412,1,R,487,R,412,R,352,R,454,R,899,R,806,R,839,R,866,R,1705
101161,1,412,1,R,1511,R,1933,R,1587,R,2388,R,3444,R,3975,R,3098,R,4321,R,7419
101189,1,412,1,R,906,R,1279,R,363,R,630,R,2185,R,993,R,1269,R,1909,R,3178
101240,1,412,1,R,998,R,1301,R,899,R,1538,R,2299,R,2437,R,1897,R,2839,R,4736
101286,1,412,1,R,647,R,1148,R,919,R,1896,R,1795,R,2815,R,1566,R,3044,R,4610
101295,1,412,1,R,997,R,1579,R,783,R,1698,R,2576,R,2481,R,1780,R,3277,R,5057
101301,1,412,1,R,317,R,395,R,250,R,513,R,712,R,763,R,567,R,908,R,1475
101435,1,412,1,R,477,R,404,R,68,R,132,R,881,R,200,R,545,R,536,R,1081
101462,1,412,1,R,177,R,135,R,226,R,293,R,312,R,519,R,403,R,428,R,831
101471,1,412,1,R,244,R,105,R,82,R,12,R,349,R,94,R,326,R,117,R,443
